Desconto;Quant_Min;Texto108;Texto111;xvencimento;xlista;I_E;D04_cod;D04_Descricao;xgrupo;D04_Tipo;D04_UniPro;D04_Precoven;Texto102;Texto115;Texto117;Texto119;Texto124;marcador;Texto91;Texto129;Texto126;Similar;xlocal;Texto134
23;0;0;C;35/42;1;Externo;458501;BROA DE FUBA 100G LA PETISSE;LA PETISSE;BROA - LA PET;UN;2,60;0,00;N;;;0,1;458501;4585;2,6000;0618231094585;;P ACAB - 22305;BROA DE FUBA 100G LA PETISSE
23;0;0;C;35/42;1;Externo;234601;BROA DE FUBA 90G CF;CASA FORTUNATO;BROA DE FUBA - FORT;UN;2,00;0,00;N;;;0,09;234601;2346;2,0000;7898707290038;;P ACAB - 22317;BROA DE FUBA 90G CF
;;;;35/42;1;Externo;234630;BROA DE FUBA 90G CF CX C/30;CASA FORTUNATO;BROA DE FUBA - FORT;CX;60,00;0,00;N;;;2,7;234630;0;2,0000;;;P ACAB - 22317;BROA DE FUBA 90G CF CX C/30
23;0;0;C;35/42;1;Externo;460801;COOKIE BAUNILHA C/ GOTAS DE CHOC. 100G LA PETISSE;LA PETISSE;COOKIE - LA PET;UN;2,90;0,00;N;;;0,1;460801;4608;2,9000;;;P ACAB - 22306;COOKIE BAUNILHA C/ GOTAS DE CHOC. 100G LA PETISSE
;;;;35/42;1;Externo;236030;COOKIES BAUN.C/ GOTAS CHOC. 90G CF CX C/30;CASA FORTUNATO;COOKIES BAUNILHA C/ GOTAS DE CHOCOLATE - FORT;CX;84,00;0,00;N;;;2,7;236030;;2,8000;;;P ACAB - 22315;COOKIES BAUN.C/ GOTAS CHOC. 90G CF CX C/30
23;0;0;C;35/42;1;Externo;236001;COOKIES BAUNILHA C/ GOTAS CHOC. 90G CF;CASA FORTUNATO;COOKIES BAUNILHA C/ GOTAS DE CHOCOLATE - FORT;UN;2,80;0,00;N;;;0,09;236001;2360;2,8000;7898707290007;;P ACAB - 22315;COOKIES BAUNILHA C/ GOTAS CHOC. 90G CF
;;;;35/42;1;Externo;237730;COOKIES CHOC.C/ GOTAS CHOC.90G CF CX C/30;CASA FORTUNATO;COOKIES CHOCOLATE C/ GOTAS DE CHOCOLATE - FORT;CX;81,60;0,00;N;;;2,7;237730;;2,7200;;;P ACAB - 22316;COOKIES CHOC.C/ GOTAS CHOC.90G CF CX C/30
23;0;0;C;35/42;1;Externo;237701;COOKIES CHOCOLATE C/ GOTAS CHOC.90G CF;CASA FORTUNATO;COOKIES CHOCOLATE C/ GOTAS DE CHOCOLATE - FORT;UN;2,72;0,00;N;;200;0,09;237701;2377;2,7200;7896207822377;;P ACAB - 22316;COOKIES CHOCOLATE C/ GOTAS CHOC.90G CF
23;0;;;35/42;1;Externo;275101;CROUTON ALHO 250G;CROUTON;CROUTON ALHO 250;UN;20,50;0,00;N;;;0,25;275101;2751;20,5000;7896207802751;;P ACAB - 2100;CROUTON ALHO 250G
23;0;;;35/42;1;Externo;275110;CROUTON ALHO 250G CX C/10;CROUTON;CROUTON ALHO 250;CX;205,00;0,00;N;;50;2,5;275110;;20,5000;;;P ACAB - 2100;CROUTON ALHO 250G CX C/10
